city_name,country,date,latitude,longitude,temp,humidity,cloudiness,wind_speed
Jieshi,CN,1612788485,22.8134,115.8257,71.01,66,100,1.01
Jatai,BR,1612788486,-17.8814,-51.7144,77.07,63,0,3.96
Northam,GB,1612788352,51.0333,-4.2167,37.0,73,80,11.99
Ust'-Kulom,RU,1612788486,61.6864,53.6902,-13.43,87,100,9.37
Morrisburg,CA,1612788362,44.9001,-75.1826,6.01,78,1,8.05
Amapá,BR,1612788486,1.0,-52.0,77.23,89,100,3.36
Kroonstad,ZA,1612788486,-27.6504,27.2349,82.99,60,4,0.69
Bethel,US,1612788322,41.3712,-73.414,12.99,67,1,4.61
Qiyang,CN,1612788486,26.5911,111.8474,49.84,80,100,6.08
São Filipe,CV,1612788487,14.8961,-24.4956,71.37,69,71,10.96
San Borja,BO,1612788487,-14.8167,-66.85,84.49,67,21,1.41
Rhyl,GB,1612788487,53.3196,-3.4886,37.0,74,94,17.0
Aksu,CN,1612788487,41.1231,80.2644,35.2,69,100,3.51
Coquimbo,CL,1612788305,-29.9533,-71.3436,60.8,77,0,4.61
Arman',RU,1612788487,59.7,150.1667,7.02,85,96,18.99
Praia,CV,1612788488,14.9215,-23.5087,73.4,60,20,25.32
Voh,NC,1612788488,-20.9667,164.7,75.63,81,65,1.88
Turan,VN,1612788488,16.0678,108.2208,73.4,94,75,1.14
Namatanai,PG,1612788488,-3.6667,152.4333,80.94,79,100,5.03
Saýat,TM,1612788488,38.7839,63.8803,60.8,39,90,18.41
Kumul,CN,1612788488,42.8,93.45,34.16,72,88,1.95
Oyama,JP,1612788488,36.3,139.8,43.0,40,20,10.36
Korla,CN,1612788489,41.7597,86.1469,34.14,74,100,2.53
Kulu,TR,1612788489,39.0951,33.0799,58.71,37,100,15.08
Bubaque,GW,1612788489,11.2833,-15.8333,77.81,40,10,2.64
Pandharpur,IN,1612788489,17.6667,75.3333,79.39,15,0,7.18
Sigli,ID,1612788519,5.3848,95.9609,80.28,79,100,4.36
Koumac,NC,1612788520,-20.5667,164.2833,78.62,72,97,0.34
Lima,PE,1612788495,-12.0432,-77.0282,73.99,88,100,5.75
Berlevåg,NO,1612788520,70.8578,29.0864,21.2,79,20,18.41
Valley City,US,1612788520,46.9233,-98.0032,-20.2,76,1,6.91
Kapaa,US,1612788520,22.0752,-159.319,63.0,82,40,6.91
